,year,source_index,type_combined,type_aggregate,type_source,area_ha
0,2012,525403,Trees,Conifer,Conifer,170.6412711158998
1,2012,525474,Trees,Conifer,Conifer,841.9215170233014
2,2012,529062,Trees,Conifer,Conifer,249.74225768184937
3,2012,529800,Trees,Mixed (conifer & broadleaved),Mixed mainly broadleaved,4.702862779949825
4,2012,550028,Trees,Broadleaved,Broadleaved,90.87083681030097
5,2012,555959,Trees,Broadleaved,Broadleaved,37.800513229399456
6,2012,556376,Trees,Broadleaved,Broadleaved,48.99364829199944
7,2012,557030,Trees,Broadleaved,Broadleaved,46.66049043210054
8,2012,569161,Trees,Broadleaved,Broadleaved,21.95238073
9,2012,569550,Trees,Broadleaved,Broadleaved,31.436962403449154
10,2012,570669,Trees,Conifer,Conifer,1393.478954105003
11,2013,12940,Trees,Conifer,Conifer,170.6412711158998
12,2013,13012,Trees,Conifer,Conifer,816.3273397421519
13,2013,16770,Trees,Conifer,Conifer,160.81766979134997
14,2013,17535,Trees,Mixed (conifer & broadleaved),Mixed mainly broadleaved,4.702862779949825
15,2013,72578,Trees,Broadleaved,Broadleaved,37.800513229399456
16,2013,72995,Trees,Broadleaved,Broadleaved,48.99364872764951
17,2013,73651,Trees,Broadleaved,Broadleaved,46.66049043210054
18,2013,86444,Trees,Broadleaved,Broadleaved,90.87083681030099
19,2013,118417,Trees,Broadleaved,Broadleaved,21.95238073
20,2013,119236,Trees,Broadleaved,Broadleaved,31.436962403449154
21,2013,122720,Trees,Conifer,Conifer,1393.478970545053
22,2014,13304,Trees,Conifer,Conifer,170.6412711158998
23,2014,13890,Trees,Conifer,Conifer,778.7227920916991
24,2014,16379,Trees,Conifer,Conifer,160.81766979134997
25,2014,17061,Trees,Mixed (conifer & broadleaved),Mixed mainly broadleaved,4.702862779949825
26,2014,70714,Trees,Broadleaved,Broadleaved,37.800513229399456
27,2014,71152,Trees,Broadleaved,Broadleaved,48.99364872764951
28,2014,76239,Trees,Broadleaved,Broadleaved,46.66049043210054
29,2014,92419,Trees,Broadleaved,Broadleaved,90.87083681030099
30,2014,117106,Trees,Broadleaved,Broadleaved,21.95238073
31,2014,125221,Trees,Broadleaved,Broadleaved,31.251068345599105
32,2015,13102,Trees,Conifer,Conifer,170.6412711158998
33,2015,13174,Trees,Conifer,Conifer,736.4361785946497
34,2015,17051,Trees,Conifer,Conifer,160.81766979134997
35,2015,17876,Trees,Mixed (conifer & broadleaved),Mixed mainly broadleaved,4.702862779949825
36,2015,67774,Trees,Broadleaved,Broadleaved,37.800513229399456
37,2015,68192,Trees,Broadleaved,Broadleaved,48.99364872764951
38,2015,68851,Trees,Broadleaved,Broadleaved,46.66049043210054
39,2015,84599,Trees,Broadleaved,Broadleaved,90.87083681030099
40,2015,107901,Trees,Broadleaved,Broadleaved,21.95238073
41,2015,108724,Trees,Broadleaved,Broadleaved,31.251068191099105
42,2016,91187,Trees,Broadleaved,Broadleaved,90.87083681
43,2016,102832,Trees,Broadleaved,Broadleaved,38.48119426
44,2016,104153,Trees,Broadleaved,Broadleaved,48.99364873
45,2016,105996,Trees,Broadleaved,Broadleaved,46.66049043
46,2016,116870,Trees,Broadleaved,Broadleaved,21.95238073
47,2016,118127,Trees,Broadleaved,Broadleaved,31.25106812
48,2016,360380,Trees,Conifer,Conifer,201.3659444
49,2016,360793,Trees,Conifer,Conifer,666.7658028
