country,type_source,area_ha
England,Ancient & Semi-Natural Woodland,215032.93869197025
England,Ancient Replanted Woodland,149743.5373188448
England,Ancient Wood Pasture,137.83951342278706
Scotland,Native woodland,311153.49009487
Scotland,Nearly-native woodland,13382.94913535
Scotland,Open land habitat,21771.47601107
Scotland,PAWS,39671.78891373
Wales,Ancient Semi Natural Woodland,41756.74227385
Wales,Ancient Woodland Site of Unknown Category,2833.72997501
Wales,Plantation on Ancient Woodland Site,26970.27916465
Wales,Restored Ancient Semi Natural Woodland,1.96805085
Wales,Restored Ancient Woodland Site,23287.22037004
