type_aggregate,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ancient & Mostly Natural Woodland,547166.9695101732,544907.5366963549,543854.6145772828,542938.0943952857,542114.5706934135,542251.8302742203,541003.8466546685,539787.9301747098,537196.1082374466,536033.1485043402,533403.6345583989
Plantation on Ancient Woodland Site,207126.33740874275,204164.4695468805,201586.8318051785,200551.05768008356,197751.70406818413,196858.50955066129,194264.13633255576,191875.38806392145,187972.3249639509,185882.68527183612,183894.7127959148
Semi-Natural Woodland,34975.36390224779,34931.90982488588,34896.121762413044,34870.352772001956,34800.03730040567,34810.94980266977,34776.90076831881,34694.53513704255,34574.92850191291,34538.30163957306,34476.17227993076
Other (assumed & uncertain),150961.5149557411,142367.84673108344,154397.22780473417,163842.15074306706,167392.5290197964,170423.86797958027,180652.74377281393,196024.71754428188,208358.2788615167,216547.63694458222,236519.82602242753
Broadleaved,627259.7859777963,627976.9978381912,630358.0020038581,631182.2357696288,635696.9153841148,641728.3549746472,641332.956086776,645453.7037368582,643437.8390196548,642378.8222791124,641282.8107133593
Conifer,1045082.553495926,985055.7605835642,926312.367580404,895328.4942379788,860863.5940537134,858477.250102204,834278.8987417883,807326.135101224,760591.9634347367,739573.9039838521,707821.9380255033
Mixed (conifer & broadleaved),58619.80702331156,58678.46639765163,60381.21764409703,60335.31508530134,61490.033810034736,62385.749695479244,62416.20651094498,62428.626882772245,62052.95476898656,61954.18639360339,61795.5034121321
Young trees,176336.1143559172,186324.71897242477,186276.23436961544,189587.58664853874,184957.96481321115,176937.84225179275,175674.57868703257,175966.69880415077,174682.65794820388,173575.32470212464,174035.73239197116
"Other (land, urban, etc.)",46878.466677972174,47299.66940208601,47879.26883023495,47697.555643426684,48036.444605915465,48505.11251448981,48579.69268662282,48747.58611558102,48722.254280363224,48781.99035299352,48797.92728376951
Barren & Felled,195565.7608435701,268006.765544963,326938.8540271699,356918.2823480411,394141.3744606037,399017.7830812346,429187.1201246669,463267.4737552176,520966.9288727658,547229.998778185,586954.9016096066
"Other (unknown quality, pasture, etc.)",24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787,24743.045499502787
