type_source,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ancient & Semi-Natural Woodland,213172.7059447823,213130.8226504931,213069.7282582182,213037.80691598583,212388.8292804773,211898.58613029815,211631.86198339253,211324.75718309084,210646.82320089618,210214.02068596467,209881.82388861067
Ancient Replanted Woodland,146029.0118919231,145422.93508452788,144649.12642661386,144354.3674616273,143304.1164788306,142797.8682862097,141626.47705707024,140779.5244936488,139211.15486748936,138373.05911977464,137587.2587887634
Native woodland,292246.75563453115,290029.26268693194,289043.4716812379,288161.85767210997,287996.97907337407,288627.33256986336,287658.4371656263,286779.3707485766,284916.6586281597,284206.9720860758,281938.2733687005
Nearly-native woodland,12454.803290790158,12410.515287598866,12368.419654332916,12342.575989198134,12272.404252217297,12286.010892306178,12255.436223015175,12191.814697577607,12113.566870474988,12089.68246855355,12034.821105654548
PAWS,34675.02936505327,32471.500126358933,31274.864208238316,30707.225826497273,29849.472613656886,29698.332268985207,29037.65717752782,28273.578783917408,27130.791815286502,26483.892484164906,25710.16928144306
Ancient Semi Natural Woodland,41747.50793085963,41747.45135892982,41741.41463782681,41738.42980718987,41728.76233956206,41725.9115740589,41713.547505649665,41683.802243042395,41632.62640839068,41612.155732299805,41583.53730108783
Restored Ancient Woodland Site,22520.13829289632,22520.972218725714,22527.279789518827,22527.35446424252,22527.210729627077,22524.516591802298,22521.04222674233,22502.298120903644,22460.93931287662,22448.1968524582,22440.928855714912
Plantation on Ancient Woodland Site,26422.296151766393,26270.034335993645,25662.84117032631,25489.46439195903,24598.114975696655,24362.308995466345,23600.002097957702,22822.284786355285,21630.37828117502,21025.733667896555,20597.28472570836
Restored Ancient Semi Natural Woodland,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541,0.4223185613027541
Assumed woodland,131003.05838491187,120438.98234128303,131650.19567624934,140852.25122691496,144544.39180465395,147692.8966103044,157772.98017861976,173026.29230055725,185399.45481854683,193607.84112180938,213563.5790638154
